Time resolution is 1 ps
Time: 0 | PCResult: xxxxxxxX | Instruction: 00000Xxx
Time: 0 | PCResult: 00000000 | Instruction: 00000000
Time: 107000 | PCResult: 00000004 | Instruction: 00000003
Time: 117000 | PCResult: 00000008 | Instruction: 00000006
Time: 127000 | PCResult: 0000000c | Instruction: 00000009
Time: 137000 | PCResult: 00000010 | Instruction: 0000000c
Time: 147000 | PCResult: 00000014 | Instruction: 0000000f
Time: 157000 | PCResult: 00000018 | Instruction: 00000012
Time: 167000 | PCResult: 0000001c | Instruction: 00000015
Time: 177000 | PCResult: 00000020 | Instruction: 00000018
Time: 187000 | PCResult: 00000024 | Instruction: 0000001b
Time: 197000 | PCResult: 00000028 | Instruction: 0000001e
Time: 207000 | PCResult: 0000002c | Instruction: 00000021
Time: 217000 | PCResult: 00000030 | Instruction: 00000024
Time: 227000 | PCResult: 00000034 | Instruction: 00000027
Time: 237000 | PCResult: 00000038 | Instruction: 0000002a
Time: 247000 | PCResult: 0000003c | Instruction: 0000002d
Time: 257000 | PCResult: 00000040 | Instruction: 00000030
Time: 267000 | PCResult: 00000044 | Instruction: 00000033
Time: 277000 | PCResult: 00000048 | Instruction: 00000036
Time: 287000 | PCResult: 0000004c | Instruction: 00000039
Time: 297000 | PCResult: 00000050 | Instruction: 0000003c
Time: 307000 | PCResult: 00000054 | Instruction: 0000003f
Time: 317000 | PCResult: 00000058 | Instruction: 00000042
Time: 327000 | PCResult: 0000005c | Instruction: 00000045
Time: 337000 | PCResult: 00000060 | Instruction: 00000048
$finish called at time : 343 ns : File "C:/Users/Koby Butler/Desktop/ECE369Lab1/1-InstructionFetchUnit/InstructionFetchUnit_tb.v" Line 44
